date,open,close
2024-05-01,82.66,81.87
2024-05-02,81.32,79.21
2024-05-03,79.47,79.19
2024-05-06,79.35,78.41
2024-05-07,78.45,78.44
2024-05-08,78.67,78.36
2024-05-09,78.32,79.0
2024-05-10,79.22,79.24
2024-05-13,79.53,78.26
2024-05-14,78.21,79.11
2024-05-15,79.22,78.5
2024-05-16,78.53,78.67
2024-05-17,78.41,79.19
2024-05-20,79.31,80.85
2024-05-21,79.98,79.83
2024-05-22,79.71,79.28
2024-05-23,78.22,77.69
2024-05-24,77.25,76.91
2024-05-28,77.2,77.86
2024-05-29,78.59,79.7
2024-05-30,80.15,78.88
2024-05-31,79.34,77.98
2024-06-03,78.42,77.5
2024-06-04,77.14,74.4
2024-06-05,74.19,73.43
2024-06-06,73.44,74.2
2024-06-07,74.68,75.69
2024-06-10,75.78,75.59
2024-06-11,75.53,77.83
2024-06-12,78.21,77.87
2024-06-13,78.22,78.46
2024-06-14,78.38,78.52
2024-06-17,77.93,78.43
2024-06-18,78.47,80.3
2024-06-20,80.37,81.53
2024-06-21,81.36,82.51
2024-06-24,81.24,80.72
2024-06-25,80.57,81.54
2024-06-26,81.65,80.8
2024-06-27,80.75,80.8
2024-06-28,80.78,81.64
2024-07-01,81.77,81.48
2024-07-02,81.35,83.26
2024-07-03,83.3,82.66
2024-07-05,82.91,83.64
2024-07-08,84.13,83.58
2024-07-09,82.97,82.17
2024-07-10,82.78,81.36
2024-07-11,81.69,82.54
2024-07-12,82.11,82.47
2024-07-15,82.64,82.99
2024-07-16,81.99,81.79
2024-07-17,81.75,80.7
2024-07-18,80.7,82.62
2024-07-19,82.9,82.62
2024-07-22,82.35,80.83
2024-07-23,80.28,79.73
2024-07-24,78.26,77.53
2024-07-25,77.52,77.64
2024-07-26,77.56,78.23
2024-07-29,78.3,77.3
2024-07-30,77.41,75.87
2024-07-31,75.8,74.78
2024-08-01,75.42,77.93
2024-08-02,78.81,76.32
2024-08-05,76.9,73.36
2024-08-06,74.41,73.12
2024-08-07,74.15,73.31
2024-08-08,72.93,75.37
2024-08-09,75.6,76.29
2024-08-12,76.35,76.83
2024-08-13,77.34,79.95
2024-08-14,79.66,78.35
2024-08-15,78.71,76.99
2024-08-16,77.55,78.23
2024-08-19,78.6,76.75
2024-08-20,76.61,74.66
2024-08-21,74.51,74.23
2024-08-22,73.27,72.13
2024-08-23,72.15,73.12
2024-08-26,73.75,74.95
2024-08-27,75.21,77.63
2024-08-28,77.36,75.75
2024-08-29,75.96,74.76
2024-08-30,74.67,76.59
2024-09-02,75.98,73.8
2024-09-03,76.35,74.1
2024-09-04,74.27,70.55
2024-09-05,70.53,69.54
2024-09-06,70.1,69.45
2024-09-09,69.81,67.96
2024-09-10,68.51,69.13
2024-09-11,68.42,66.09
2024-09-12,66.42,67.51
2024-09-13,67.69,69.34
2024-09-16,69.74423217773438,69.04406738
2024-09-17,69.49073028564453,70.47520446777344
2024-09-18,70.63911437988281,71.47751617
2024-09-19,70.4162,70.85099
2024-09-20,72.25053,72.22231
2024-09-23,71.526,71.915054
2024-09-24,71.084404,71.27283
2024-09-25,71.73194885253906,71.40473937988281
2024-09-26,70.08399200439453,70.07455444335938
2024-09-27,67.84966278076172,67.99954223632812
2024-09-28,67.8489761352539,69.1373519897461
2024-09-29,67.8489761352539,69.1373519897461
2024-09-30,69.12112426757812,68.97758483886719
2024-10-01,68.79045867919922,68.81330108642578
2024-10-02,71.16836547851562,71.08341217041016
2024-10-03,71.18318176269531,71.28598022460938
2024-10-04,74.19255828857422,73.96346282958984
2024-10-05,74.19310760498047,74.63053131103516
2024-10-06,74.19310760498047,74.63053131103516
2024-10-08,74.56501770019531,74.5109634399414
2024-10-08,77.3021011352539,75.85658264160156
2024-10-09,73.86909484863281,73.88096618652344
2024-10-10,73.61993408203125,74.0970230102539
2024-10-11,75.83443450927734,75.69004821777344
2024-10-12,75.83480834960938,75.44807434082031
2024-10-13,75.83480834960938,75.44807434082031
2024-10-14,75.03807830810547,74.82303619384766
2024-10-15,71.71011352539062,71.90496826171875
2024-10-16,71.2736587524414,71.24359130859375
2024-10-17,71.15337371826172,71.01461791992188
2024-10-18,71.09170532226562,71.13441467285156
2024-10-19,71.09178924560547,69.6703109741211
2024-10-20,71.09178924560547,69.6703109741211
2024-10-21,69.71615600585938,69.85639953613281
2024-10-22,70.8433609008789,70.64317321777344
2024-10-23,70.84382629394531,72.45626831054688
